ts,window_ts,offset,cutoff,snap,snap_pct,n5s,med5s,min5s,max5s,snap_vs_med,direction,dir_if_med,direction_flipped,kalshi_mid
2026-05-04T08:49:00.688095+00:00,2026-05-04T08:45:00+00:00,T+4:00,79701.38,79657.48,-0.0551,18,79653.99,79653.95,79657.48,3.49,no,no,0,0.29
2026-05-04T08:49:15.000685+00:00,2026-05-04T08:45:00+00:00,T+4:15,79701.38,79685.97,-0.0193,6,79685.97,79685.97,79685.98,0.0,no,no,0,0.42
2026-05-04T08:49:30.000289+00:00,2026-05-04T08:45:00+00:00,T+4:30,79701.38,79692.86,-0.0107,15,79692.86,79689.27,79692.87,0.0,no,no,0,0.455
2026-05-04T08:49:45.000379+00:00,2026-05-04T08:45:00+00:00,T+4:45,79701.38,79692.84,-0.0107,9,79692.84,79692.84,79692.85,0.0,no,no,0,0.435
2026-05-04T08:50:00.000661+00:00,2026-05-04T08:45:00+00:00,T+5:00,79701.38,79689.26,-0.0152,10,79689.26,79689.26,79689.27,0.0,no,no,0,0.42
2026-05-04T08:50:15.000346+00:00,2026-05-04T08:45:00+00:00,T+5:15,79701.38,79660.21,-0.0517,9,79660.21,79660.21,79660.22,0.0,no,no,0,0.265
2026-05-04T08:50:30.000333+00:00,2026-05-04T08:45:00+00:00,T+5:30,79701.38,79653.06,-0.0606,53,79660.21,79651.53,79663.46,-7.15,no,no,0,0.225
2026-05-04T08:50:45.000428+00:00,2026-05-04T08:45:00+00:00,T+5:45,79701.38,79650.01,-0.0645,40,79662.38,79650.01,79662.95,-12.37,no,no,0,0.265
2026-05-04T08:51:00.000360+00:00,2026-05-04T08:45:00+00:00,T+6:00,79701.38,79653.07,-0.0606,9,79653.07,79653.06,79653.08,0.0,no,no,0,0.23
2026-05-04T08:51:15.000541+00:00,2026-05-04T08:45:00+00:00,T+6:15,79701.38,79640.0,-0.077,45,79655.56,79640.0,79663.45,-15.56,no,no,0,0.195
2026-05-04T08:51:30.000631+00:00,2026-05-04T08:45:00+00:00,T+6:30,79701.38,79655.15,-0.058,19,79657.94,79655.15,79657.95,-2.79,no,no,0,0.23
2026-05-04T08:51:45.000581+00:00,2026-05-04T08:45:00+00:00,T+6:45,79701.38,79620.04,-0.1021,168,79620.01,79581.95,79635.99,0.03,no,no,0,0.115
2026-05-04T08:52:00.000759+00:00,2026-05-04T08:45:00+00:00,T+7:00,79701.38,79614.46,-0.1091,17,79614.46,79614.46,79614.46,0.0,no,no,0,0.0885
2026-05-04T08:52:15.000679+00:00,2026-05-04T08:45:00+00:00,T+7:15,79701.38,79626.89,-0.0935,24,79627.07,79620.67,79629.69,-0.18,no,no,0,0.0985
2026-05-04T08:52:30.000377+00:00,2026-05-04T08:45:00+00:00,T+7:30,79701.38,79648.98,-0.0657,46,79651.01,79645.02,79657.01,-2.03,no,no,0,0.165
2026-05-04T08:52:45.000914+00:00,2026-05-04T08:45:00+00:00,T+7:45,79701.38,79645.41,-0.0702,18,79645.4,79645.4,79645.41,0.01,no,no,0,0.145
2026-05-04T08:53:00.000472+00:00,2026-05-04T08:45:00+00:00,T+8:00,79701.38,79661.21,-0.0504,28,79648.87,79645.4,79661.21,12.34,no,no,0,0.195
2026-05-04T08:53:15.000833+00:00,2026-05-04T08:45:00+00:00,T+8:15,79701.38,79661.35,-0.0502,14,79661.35,79661.27,79661.35,0.0,no,no,0,0.235
2026-05-04T08:53:30.000621+00:00,2026-05-04T08:45:00+00:00,T+8:30,79701.38,79666.96,-0.0432,27,79658.28,79658.06,79666.96,8.68,no,no,0,0.255
2026-05-04T08:53:45.000333+00:00,2026-05-04T08:45:00+00:00,T+8:45,79701.38,79675.92,-0.0319,26,79678.24,79675.92,79681.97,-2.32,no,no,0,0.325
2026-05-04T08:54:00.000870+00:00,2026-05-04T08:45:00+00:00,T+9:00,79701.38,79681.27,-0.0252,17,79684.06,79681.2,79684.07,-2.79,no,no,0,0.325
2026-05-04T08:54:15.000686+00:00,2026-05-04T08:45:00+00:00,T+9:15,79701.38,79697.72,-0.0046,14,79685.98,79685.97,79697.72,11.74,no,no,0,0.45
2026-05-04T08:54:30.000901+00:00,2026-05-04T08:45:00+00:00,T+9:30,79701.38,79688.46,-0.0162,21,79688.45,79688.45,79688.46,0.01,no,no,0,0.375
2026-05-04T08:54:45.000651+00:00,2026-05-04T08:45:00+00:00,T+9:45,79701.38,79692.23,-0.0115,13,79692.23,79692.23,79692.23,0.0,no,no,0,0.41
2026-05-04T08:55:00.000538+00:00,2026-05-04T08:45:00+00:00,T+10:00,79701.38,79691.1,-0.0129,11,79691.1,79691.1,79691.11,0.0,no,no,0,0.405
