asset,ticker,minute,kind,side,fair,fill_px,contracts,edge_c,won,pnl
BTC,KXBTC15M-26JUN141615-15,13,flat,no,0.3395,0.01,20.0,32.95,0,-0.2
BTC,KXBTC15M-26JUN141615-15,13,dynamic,no,0.3395,0.0191,4986.59,32.95,0,-95.2046
BTC,KXBTC15M-26JUN141630-30,13,flat,yes,0.9774,0.7718,0.0,20.56,1,0.0
BTC,KXBTC15M-26JUN141630-30,13,dynamic,yes,0.9774,0.7718,0.0,20.56,1,0.0
BTC,KXBTC15M-26JUN141700-00,10,flat,yes,0.8984,0.57,20.0,32.84,0,-11.4
BTC,KXBTC15M-26JUN141700-00,10,dynamic,yes,0.8984,0.57,140.65,32.84,0,-80.1733
BTC,KXBTC15M-26JUN141700-00,11,flat,yes,0.9236,0.76,20.0,16.36,0,-15.2
BTC,KXBTC15M-26JUN141700-00,11,dynamic,yes,0.9236,0.76,116.34,16.36,0,-88.4181
BTC,KXBTC15M-26JUN141715-15,10,flat,yes,0.909,0.73,20.0,17.9,1,5.022
BTC,KXBTC15M-26JUN141715-15,10,dynamic,yes,0.909,0.73,128.68,17.9,1,32.3107
BTC,KXBTC15M-26JUN141745-45,12,flat,yes,0.9753,0.8627,0.0,11.26,1,0.0
BTC,KXBTC15M-26JUN141745-45,12,dynamic,yes,0.9753,0.8627,0.0,11.26,1,0.0
BTC,KXBTC15M-26JUN141745-45,13,flat,yes,0.9775,0.8635,0.0,11.41,1,0.0
BTC,KXBTC15M-26JUN141745-45,13,dynamic,yes,0.9775,0.8635,0.0,11.41,1,0.0
BTC,KXBTC15M-26JUN141800-00,13,flat,no,0.4267,0.11,20.0,31.67,0,-2.2
BTC,KXBTC15M-26JUN141800-00,13,dynamic,no,0.4267,0.1301,2481.98,31.67,0,-322.9809
BTC,KXBTC15M-26JUN141830-30,10,flat,yes,0.9063,0.468,20.0,44.63,1,9.8952
BTC,KXBTC15M-26JUN141830-30,10,dynamic,yes,0.9063,0.4699,543.79,44.63,1,268.0729
BTC,KXBTC15M-26JUN141830-30,11,flat,yes,0.9333,0.32,20.0,61.33,1,12.648
BTC,KXBTC15M-26JUN141830-30,11,dynamic,yes,0.9333,0.322,375.14,61.33,1,236.5601
