asset,ticker,minute,kind,side,fair,fill_px,contracts,edge_c,won,pnl
BTC,KXBTC15M-26JUN141615-15,13,flat,no,0.3395,0.01,20.0,32.95,0,-0.2
BTC,KXBTC15M-26JUN141615-15,13,tt,no,0.3395,0.01,20.0,32.95,0,-0.2
BTC,KXBTC15M-26JUN141615-15,13,dynamic,no,0.3395,0.0191,4986.59,32.95,0,-95.2046
BTC,KXBTC15M-26JUN141615-15,13,maker,no,0.3395,0.3195,20,2.0,0,-6.3897
BTC,KXBTC15M-26JUN141630-30,13,flat,yes,0.9774,0.7718,0.0,20.56,1,0.0
BTC,KXBTC15M-26JUN141630-30,13,dynamic,yes,0.9774,0.7718,0.0,20.56,1,0.0
BTC,KXBTC15M-26JUN141700-00,10,flat,yes,0.8984,0.57,20.0,32.84,0,-11.4
BTC,KXBTC15M-26JUN141700-00,10,tt,yes,0.8984,0.57,20.0,32.84,0,-11.4
BTC,KXBTC15M-26JUN141700-00,10,dynamic,yes,0.8984,0.57,140.65,32.84,0,-80.1733
BTC,KXBTC15M-26JUN141700-00,10,maker,yes,0.8984,0.8784,20,2.0,0,-17.5681
BTC,KXBTC15M-26JUN141700-00,11,flat,yes,0.9236,0.76,20.0,16.36,0,-15.2
BTC,KXBTC15M-26JUN141700-00,11,tt,yes,0.9236,0.76,20.0,16.36,0,-15.2
BTC,KXBTC15M-26JUN141700-00,11,dynamic,yes,0.9236,0.76,116.34,16.36,0,-88.4181
BTC,KXBTC15M-26JUN141700-00,11,maker,yes,0.9236,0.9036,20,2.0,0,-18.072
BTC,KXBTC15M-26JUN141700-00,12,maker,no,0.4266,0.4066,20,2.0,1,11.0368
BTC,KXBTC15M-26JUN141715-15,10,flat,yes,0.909,0.73,20.0,17.9,1,5.022
BTC,KXBTC15M-26JUN141715-15,10,tt,yes,0.909,0.73,20.0,17.9,1,5.022
BTC,KXBTC15M-26JUN141715-15,10,dynamic,yes,0.909,0.73,128.68,17.9,1,32.3107
BTC,KXBTC15M-26JUN141715-15,10,maker,yes,0.909,0.889,20,2.0,1,2.0654
BTC,KXBTC15M-26JUN141715-15,11,maker,yes,0.9181,0.8981,20,2.0,1,1.8958
BTC,KXBTC15M-26JUN141715-15,12,maker,yes,0.9197,0.8997,20,2.0,1,1.8664
BTC,KXBTC15M-26JUN141745-45,12,flat,yes,0.9753,0.8627,0.0,11.26,1,0.0
BTC,KXBTC15M-26JUN141745-45,12,dynamic,yes,0.9753,0.8627,0.0,11.26,1,0.0
BTC,KXBTC15M-26JUN141745-45,13,flat,yes,0.9775,0.8635,0.0,11.41,1,0.0
BTC,KXBTC15M-26JUN141745-45,13,dynamic,yes,0.9775,0.8635,0.0,11.41,1,0.0
BTC,KXBTC15M-26JUN141800-00,13,flat,no,0.4267,0.11,20.0,31.67,0,-2.2
BTC,KXBTC15M-26JUN141800-00,13,tt,no,0.4267,0.11,20.0,31.67,0,-2.2
BTC,KXBTC15M-26JUN141800-00,13,dynamic,no,0.4267,0.1301,2481.98,31.67,0,-322.9809
BTC,KXBTC15M-26JUN141800-00,13,maker,no,0.4267,0.4067,20,2.0,0,-8.1347
BTC,KXBTC15M-26JUN141830-30,10,flat,yes,0.9063,0.468,20.0,44.63,1,9.8952
