window_ts,ticker,winner,n_yes_bets,n_no_bets,total_bets,yes_wagered,no_wagered,total_wagered,yes_pnl,no_pnl,total_pnl,cum_pnl,outcome,first_minute,first_direction
2026-05-18T08:45:00+00:00,KXBTC15M-26MAY180500-00,yes,1,0,1,16.0243,0.0000,16.0243,+2.6299,+0.0000,+2.6299,+2.6299,net_win,11,yes
2026-05-18T09:00:00+00:00,KXBTC15M-26MAY180515-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+2.6299,no_bet,,
2026-05-18T09:15:00+00:00,KXBTC15M-26MAY180530-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+2.6299,no_bet,,
2026-05-18T09:30:00+00:00,KXBTC15M-26MAY180545-45,no,1,0,1,26.9933,0.0000,26.9933,-26.9933,+0.0000,-26.9933,-24.3635,net_loss,11,yes
2026-05-18T09:45:00+00:00,KXBTC15M-26MAY180600-00,no,0,1,1,0.0000,8.5424,8.5424,+0.0000,+1.6272,+1.6272,-22.7363,net_win,12,no
2026-05-18T12:15:00+00:00,KXBTC15M-26MAY180830-30,no,0,1,1,0.0000,26.1675,26.1675,+0.0000,+29.7438,+29.7438,+7.0075,net_win,12,no
2026-05-18T12:30:00+00:00,KXBTC15M-26MAY180845-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+7.0075,no_bet,,
2026-05-18T21:15:00+00:00,KXBTC15M-26MAY181730-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+7.0075,no_bet,,
2026-05-18T21:30:00+00:00,KXBTC15M-26MAY181745-45,no,1,1,2,10.5894,11.7428,22.3322,-10.5894,+8.5807,-2.0087,+4.9987,net_loss,10,no
2026-05-18T21:45:00+00:00,KXBTC15M-26MAY181800-00,yes,1,0,1,24.4301,0.0000,24.4301,+7.5733,+0.0000,+7.5733,+12.5721,net_win,11,yes
2026-05-18T22:00:00+00:00,KXBTC15M-26MAY181815-15,yes,1,0,1,18.8864,0.0000,18.8864,+7.1742,+0.0000,+7.1742,+19.7463,net_win,11,yes
2026-05-18T22:15:00+00:00,KXBTC15M-26MAY181830-30,yes,1,0,1,23.4637,0.0000,23.4637,+5.8006,+0.0000,+5.8006,+25.5468,net_win,11,yes
2026-05-18T22:30:00+00:00,KXBTC15M-26MAY181845-45,no,0,1,1,0.0000,20.6777,20.6777,+0.0000,+17.7510,+17.7510,+43.2978,net_win,10,no
2026-05-18T22:45:00+00:00,KXBTC15M-26MAY181900-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+43.2978,no_bet,,
2026-05-18T23:00:00+00:00,KXBTC15M-26MAY181915-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+43.2978,no_bet,,
2026-05-18T23:15:00+00:00,KXBTC15M-26MAY181930-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+43.2978,no_bet,,
2026-05-18T23:30:00+00:00,KXBTC15M-26MAY181945-45,yes,1,0,1,21.6495,0.0000,21.6495,+9.9168,+0.0000,+9.9168,+53.2146,net_win,11,yes
2026-05-18T23:45:00+00:00,KXBTC15M-26MAY182000-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+53.2146,no_bet,,
2026-05-19T00:00:00+00:00,KXBTC15M-26MAY182015-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+53.2146,no_bet,,
2026-05-19T00:15:00+00:00,KXBTC15M-26MAY182030-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+53.2146,no_bet,,
2026-05-19T00:30:00+00:00,KXBTC15M-26MAY182045-45,no,0,1,1,0.0000,35.0100,35.0100,+0.0000,+9.1834,+9.1834,+62.3980,net_win,10,no
