window_ts,ticker,winner,n_yes_bets,n_no_bets,total_bets,yes_wagered,no_wagered,total_wagered,yes_pnl,no_pnl,total_pnl,cum_pnl,outcome,first_minute,first_direction
2026-05-18T08:45:00+00:00,KXBTC15M-26MAY180500-00,yes,2,0,2,16.0243,0.0000,16.0243,+4.5078,+0.0000,+4.5078,+4.5078,net_win,8,yes
2026-05-18T09:00:00+00:00,KXBTC15M-26MAY180515-15,no,0,2,2,0.0000,12.1628,12.1628,+0.0000,+50.6292,+50.6292,+55.1370,net_win,4,no
2026-05-18T09:15:00+00:00,KXBTC15M-26MAY180530-30,yes,2,0,2,9.3570,0.0000,9.3570,+2.8247,+0.0000,+2.8247,+57.9617,net_win,6,yes
2026-05-18T09:30:00+00:00,KXBTC15M-26MAY180545-45,no,2,0,2,15.1236,0.0000,15.1236,-15.1236,+0.0000,-15.1236,+42.8380,net_loss,4,yes
2026-05-18T09:45:00+00:00,KXBTC15M-26MAY180600-00,no,0,2,2,0.0000,7.3221,7.3221,+0.0000,+15.2606,+15.2606,+58.0986,net_win,7,no
2026-05-18T12:15:00+00:00,KXBTC15M-26MAY180830-30,no,2,0,2,10.6738,0.0000,10.6738,-10.6738,+0.0000,-10.6738,+47.4248,net_loss,4,yes
2026-05-18T12:30:00+00:00,KXBTC15M-26MAY180845-45,yes,2,0,2,26.5357,0.0000,26.5357,+3.7395,+0.0000,+3.7395,+51.1642,net_win,4,yes
2026-05-18T21:15:00+00:00,KXBTC15M-26MAY181730-30,yes,2,0,2,15.7918,0.0000,15.7918,+2.7794,+0.0000,+2.7794,+53.9436,net_win,6,yes
2026-05-18T21:30:00+00:00,KXBTC15M-26MAY181745-45,no,1,1,2,3.2267,18.8755,22.1021,-3.2267,+21.4551,+18.2285,+72.1721,net_win,6,yes
2026-05-18T21:45:00+00:00,KXBTC15M-26MAY181800-00,yes,1,1,2,5.2975,4.6463,9.9438,+6.5307,-4.6463,+1.8844,+74.0565,net_win,6,no
2026-05-18T22:00:00+00:00,KXBTC15M-26MAY181815-15,yes,2,0,2,11.7317,0.0000,11.7317,+7.2586,+0.0000,+7.2586,+81.3151,net_win,5,yes
2026-05-18T22:15:00+00:00,KXBTC15M-26MAY181830-30,yes,2,0,2,13.7546,0.0000,13.7546,+7.8401,+0.0000,+7.8401,+89.1552,net_win,5,yes
2026-05-18T22:30:00+00:00,KXBTC15M-26MAY181845-45,no,2,0,2,5.7795,0.0000,5.7795,-5.7795,+0.0000,-5.7795,+83.3757,net_loss,6,yes
2026-05-18T22:45:00+00:00,KXBTC15M-26MAY181900-00,yes,1,1,2,6.6998,11.6852,18.3850,+35.3079,-11.6852,+23.6228,+106.9985,net_win,5,no
2026-05-18T23:00:00+00:00,KXBTC15M-26MAY181915-15,yes,2,0,2,9.5010,0.0000,9.5010,+2.3329,+0.0000,+2.3329,+109.3313,net_win,4,yes
2026-05-18T23:15:00+00:00,KXBTC15M-26MAY181930-30,no,0,2,2,0.0000,7.7201,7.7201,+0.0000,+30.6082,+30.6082,+139.9395,net_win,5,no
2026-05-18T23:30:00+00:00,KXBTC15M-26MAY181945-45,yes,2,0,2,21.6495,0.0000,21.6495,+17.0790,+0.0000,+17.0790,+157.0185,net_win,10,yes
2026-05-18T23:45:00+00:00,KXBTC15M-26MAY182000-00,no,0,2,2,0.0000,7.0090,7.0090,+0.0000,+65.9078,+65.9078,+222.9264,net_win,4,no
2026-05-19T00:00:00+00:00,KXBTC15M-26MAY182015-15,yes,1,1,2,7.9771,5.1052,13.0823,+3.4912,-5.1052,-1.6140,+221.3123,net_loss,4,no
2026-05-19T00:15:00+00:00,KXBTC15M-26MAY182030-30,yes,2,0,2,17.5067,0.0000,17.5067,+6.1520,+0.0000,+6.1520,+227.4643,net_win,4,yes
2026-05-19T00:30:00+00:00,KXBTC15M-26MAY182045-45,no,1,1,2,2.7946,8.6416,11.4361,-2.7946,+5.3578,+2.5632,+230.0275,net_win,6,yes
2026-05-19T00:45:00+00:00,KXBTC15M-26MAY182100-00,no,2,0,2,13.2894,0.0000,13.2894,-13.2894,+0.0000,-13.2894,+216.7381,net_loss,4,yes
2026-05-19T01:00:00+00:00,KXBTC15M-26MAY182115-15,no,1,1,2,1.6327,3.7551,5.3878,-1.6327,+7.7731,+6.1405,+222.8785,net_win,6,no
2026-05-19T01:15:00+00:00,KXBTC15M-26MAY182130-30,no,0,2,2,0.0000,11.9097,11.9097,+0.0000,+75.8215,+75.8215,+298.7001,net_win,4,no
2026-05-19T01:30:00+00:00,KXBTC15M-26MAY182145-45,yes,2,0,2,32.1803,0.0000,32.1803,+12.2543,+0.0000,+12.2543,+310.9544,net_win,4,yes
2026-05-19T01:45:00+00:00,KXBTC15M-26MAY182200-00,no,0,2,2,0.0000,12.1703,12.1703,+0.0000,+90.1633,+90.1633,+401.1177,net_win,4,no
2026-05-19T02:00:00+00:00,KXBTC15M-26MAY182215-15,yes,1,1,2,3.9405,7.2887,11.2292,+14.6588,-7.2887,+7.3701,+408.4878,net_win,6,yes
2026-05-19T02:15:00+00:00,KXBTC15M-26MAY182230-30,yes,2,0,2,10.5605,0.0000,10.5605,+2.8086,+0.0000,+2.8086,+411.2964,net_win,4,yes
2026-05-19T02:30:00+00:00,KXBTC15M-26MAY182245-45,no,0,2,2,0.0000,8.4066,8.4066,+0.0000,+47.0295,+47.0295,+458.3259,net_win,6,no
2026-05-19T02:45:00+00:00,KXBTC15M-26MAY182300-00,no,0,1,1,0.0000,28.7836,28.7836,+0.0000,+47.5889,+47.5889,+505.9149,net_win,7,no
