window_ts,ticker,winner,p_yes_nn,direction,side,fair,fill,mispricing,stake,contracts,pnl,cum_pnl,outcome
2026-05-18T08:45:00+00:00,KXBTC15M-26MAY180500-00,yes,0.8056,up,skip,0.8056,0.9000,-0.0944,0.0000,0.0000,+0.0000,+0.0000,no_bet
2026-05-18T09:00:00+00:00,KXBTC15M-26MAY180515-15,no,0.0130,down,skip,0.9870,0.9700,+0.0170,0.0000,0.0000,+0.0000,+0.0000,no_bet
2026-05-18T09:15:00+00:00,KXBTC15M-26MAY180530-30,yes,0.9195,up,skip,0.9195,0.9600,-0.0405,0.0000,0.0000,+0.0000,+0.0000,no_bet
2026-05-18T09:30:00+00:00,KXBTC15M-26MAY180545-45,no,0.5767,up,skip,0.5767,0.7600,-0.1833,0.0000,0.0000,+0.0000,+0.0000,no_bet
2026-05-18T09:45:00+00:00,KXBTC15M-26MAY180600-00,no,0.1045,down,no,0.8955,0.8200,+0.0755,5.4272,6.6186,+1.1080,+1.1080,net_win
2026-05-18T12:15:00+00:00,KXBTC15M-26MAY180830-30,no,0.9497,up,skip,0.9497,0.9700,-0.0203,0.0000,0.0000,+0.0000,+1.1080,no_bet
2026-05-18T12:30:00+00:00,KXBTC15M-26MAY180845-45,yes,0.9863,up,skip,0.9863,0.9700,+0.0163,0.0000,0.0000,+0.0000,+1.1080,no_bet
2026-05-18T21:15:00+00:00,KXBTC15M-26MAY181730-30,yes,0.9222,up,skip,0.9222,0.8800,+0.0422,0.0000,0.0000,+0.0000,+1.1080,no_bet
2026-05-18T21:30:00+00:00,KXBTC15M-26MAY181745-45,no,0.3429,down,no,0.6571,0.5600,+0.0971,7.8223,13.9684,+5.7159,+6.8238,net_win
2026-05-18T21:45:00+00:00,KXBTC15M-26MAY181800-00,yes,0.7007,up,skip,0.7007,0.8000,-0.0993,0.0000,0.0000,+0.0000,+6.8238,no_bet
2026-05-18T22:00:00+00:00,KXBTC15M-26MAY181815-15,yes,0.6349,up,skip,0.6349,0.7700,-0.1351,0.0000,0.0000,+0.0000,+6.8238,no_bet
2026-05-18T22:15:00+00:00,KXBTC15M-26MAY181830-30,yes,0.7751,up,skip,0.7751,0.8400,-0.0649,0.0000,0.0000,+0.0000,+6.8238,no_bet
2026-05-18T22:30:00+00:00,KXBTC15M-26MAY181845-45,no,0.1026,down,no,0.8974,0.5200,+0.3774,13.2227,25.4283,+11.3512,+18.1750,net_win
2026-05-18T22:45:00+00:00,KXBTC15M-26MAY181900-00,yes,0.0912,down,no,0.9088,0.8100,+0.0988,7.2242,8.9188,-7.2242,+10.9508,net_loss
2026-05-18T23:00:00+00:00,KXBTC15M-26MAY181915-15,yes,0.8981,up,skip,0.8981,0.9640,-0.0659,0.0000,0.0000,+0.0000,+10.9508,no_bet
2026-05-18T23:15:00+00:00,KXBTC15M-26MAY181930-30,no,0.0508,down,no,0.9492,0.8900,+0.0592,7.2027,8.0929,+0.8279,+11.7787,net_win
2026-05-18T23:30:00+00:00,KXBTC15M-26MAY181945-45,yes,0.4885,up,skip,0.4885,0.4600,+0.0285,0.0000,0.0000,+0.0000,+11.7787,no_bet
2026-05-18T23:45:00+00:00,KXBTC15M-26MAY182000-00,no,0.0219,down,skip,0.9781,0.9700,+0.0081,0.0000,0.0000,+0.0000,+11.7787,no_bet
2026-05-19T00:00:00+00:00,KXBTC15M-26MAY182015-15,yes,0.9734,up,yes,0.9734,0.9200,+0.0534,14.9127,16.2094,+1.2060,+12.9847,net_win
2026-05-19T00:15:00+00:00,KXBTC15M-26MAY182030-30,yes,0.9711,up,skip,0.9711,0.9700,+0.0011,0.0000,0.0000,+0.0000,+12.9847,no_bet
2026-05-19T00:30:00+00:00,KXBTC15M-26MAY182045-45,no,0.0244,down,no,0.9756,0.7800,+0.1956,24.2324,31.0671,+6.3563,+19.3410,net_win
2026-05-19T00:45:00+00:00,KXBTC15M-26MAY182100-00,no,0.6596,up,skip,0.6596,0.7400,-0.0804,0.0000,0.0000,+0.0000,+19.3410,no_bet
2026-05-19T01:00:00+00:00,KXBTC15M-26MAY182115-15,no,0.2373,up,skip,0.2373,0.3000,-0.0627,0.0000,0.0000,+0.0000,+19.3410,no_bet
2026-05-19T01:30:00+00:00,KXBTC15M-26MAY182145-45,yes,0.5991,up,skip,0.5991,0.7100,-0.1109,0.0000,0.0000,+0.0000,+19.3410,no_bet
2026-05-19T01:45:00+00:00,KXBTC15M-26MAY182200-00,no,0.0120,down,skip,0.9880,0.9700,+0.0180,0.0000,0.0000,+0.0000,+19.3410,no_bet
2026-05-19T02:00:00+00:00,KXBTC15M-26MAY182215-15,yes,0.1605,up,skip,0.1605,0.1700,-0.0095,0.0000,0.0000,+0.0000,+19.3410,no_bet
2026-05-19T02:30:00+00:00,KXBTC15M-26MAY182245-45,no,0.0581,up,skip,0.0581,0.1350,-0.0769,0.0000,0.0000,+0.0000,+19.3410,no_bet
2026-05-19T02:45:00+00:00,KXBTC15M-26MAY182300-00,no,0.0171,down,skip,0.9829,0.9700,+0.0129,0.0000,0.0000,+0.0000,+19.3410,no_bet
2026-05-19T03:00:00+00:00,KXBTC15M-26MAY182315-15,yes,0.8514,up,skip,0.8514,0.9630,-0.1116,0.0000,0.0000,+0.0000,+19.3410,no_bet
2026-05-19T03:15:00+00:00,KXBTC15M-26MAY182330-30,no,0.1015,down,no,0.8985,0.8400,+0.0585,8.1365,9.6863,+1.4413,+20.7823,net_win
2026-05-19T03:30:00+00:00,KXBTC15M-26MAY182345-45,yes,0.8836,up,skip,0.8836,0.9530,-0.0694,0.0000,0.0000,+0.0000,+20.7823,no_bet
2026-05-19T03:45:00+00:00,KXBTC15M-26MAY190000-00,no,0.0315,down,no,0.9685,0.7800,+0.1885,11.9430,15.3115,+3.1327,+23.9151,net_win
2026-05-19T04:00:00+00:00,KXBTC15M-26MAY190015-15,yes,0.9820,up,skip,0.9820,0.9590,+0.0230,0.0000,0.0000,+0.0000,+23.9151,no_bet
2026-05-19T04:15:00+00:00,KXBTC15M-26MAY190030-30,no,0.0127,down,skip,0.9873,0.9700,+0.0173,0.0000,0.0000,+0.0000,+23.9151,no_bet
2026-05-19T04:30:00+00:00,KXBTC15M-26MAY190045-45,yes,0.9877,up,skip,0.9877,0.9700,+0.0177,0.0000,0.0000,+0.0000,+23.9151,no_bet
2026-05-19T04:45:00+00:00,KXBTC15M-26MAY190100-00,yes,0.8364,up,skip,0.8364,0.8900,-0.0536,0.0000,0.0000,+0.0000,+23.9151,no_bet
2026-05-19T05:15:00+00:00,KXBTC15M-26MAY190130-30,no,0.0216,down,skip,0.9784,0.9700,+0.0084,0.0000,0.0000,+0.0000,+23.9151,no_bet
2026-05-19T05:30:00+00:00,KXBTC15M-26MAY190145-45,yes,0.9835,up,skip,0.9835,0.9700,+0.0135,0.0000,0.0000,+0.0000,+23.9151,no_bet
2026-05-19T05:45:00+00:00,KXBTC15M-26MAY190200-00,no,0.2082,up,skip,0.2082,0.4600,-0.2518,0.0000,0.0000,+0.0000,+23.9151,no_bet
2026-05-19T06:00:00+00:00,KXBTC15M-26MAY190215-15,yes,0.8916,up,skip,0.8916,0.9300,-0.0384,0.0000,0.0000,+0.0000,+23.9151,no_bet
2026-05-19T06:15:00+00:00,KXBTC15M-26MAY190230-30,yes,0.2390,down,skip,0.7610,0.8300,-0.0690,0.0000,0.0000,+0.0000,+23.9151,no_bet
