window_ts,ticker,winner,n_yes_bets,n_no_bets,total_bets,yes_wagered,no_wagered,total_wagered,yes_pnl,no_pnl,total_pnl,cum_pnl,outcome,first_minute,first_direction
2026-05-18T08:45:00+00:00,KXBTC15M-26MAY180500-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+0.0000,no_bet,,
2026-05-18T09:00:00+00:00,KXBTC15M-26MAY180515-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+0.0000,no_bet,,
2026-05-18T09:15:00+00:00,KXBTC15M-26MAY180530-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+0.0000,no_bet,,
2026-05-18T09:30:00+00:00,KXBTC15M-26MAY180545-45,no,1,0,1,22.1946,0.0000,22.1946,-22.1946,+0.0000,-22.1946,-22.1946,net_loss,11,yes
2026-05-18T09:45:00+00:00,KXBTC15M-26MAY180600-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-22.1946,no_bet,,
2026-05-18T12:15:00+00:00,KXBTC15M-26MAY180830-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-22.1946,no_bet,,
2026-05-18T12:30:00+00:00,KXBTC15M-26MAY180845-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-22.1946,no_bet,,
2026-05-18T21:15:00+00:00,KXBTC15M-26MAY181730-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-22.1946,no_bet,,
2026-05-18T21:30:00+00:00,KXBTC15M-26MAY181745-45,no,1,1,2,6.9990,11.8770,18.8760,-6.9990,+8.6787,+1.6798,-20.5148,net_win,10,no
2026-05-18T21:45:00+00:00,KXBTC15M-26MAY181800-00,yes,1,0,1,22.8611,0.0000,22.8611,+7.0869,+0.0000,+7.0869,-13.4279,net_win,11,yes
2026-05-18T22:00:00+00:00,KXBTC15M-26MAY181815-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-13.4279,no_bet,,
2026-05-18T22:15:00+00:00,KXBTC15M-26MAY181830-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-13.4279,no_bet,,
2026-05-18T22:30:00+00:00,KXBTC15M-26MAY181845-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-13.4279,no_bet,,
