window_ts,ticker,winner,n_yes_bets,n_no_bets,total_bets,yes_wagered,no_wagered,total_wagered,yes_pnl,no_pnl,total_pnl,cum_pnl,outcome,first_minute,first_direction
2026-05-18T08:45:00+00:00,KXBTC15M-26MAY180500-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+0.0000,no_bet,,
2026-05-18T09:00:00+00:00,KXBTC15M-26MAY180515-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+0.0000,no_bet,,
2026-05-18T09:15:00+00:00,KXBTC15M-26MAY180530-30,yes,0,1,1,0.0000,8.3371,8.3371,+0.0000,-8.3371,-8.3371,-8.3371,net_loss,12,no
2026-05-18T09:30:00+00:00,KXBTC15M-26MAY180545-45,no,1,0,1,19.8252,0.0000,19.8252,-19.8252,+0.0000,-19.8252,-28.1623,net_loss,13,yes
2026-05-18T09:45:00+00:00,KXBTC15M-26MAY180600-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-28.1623,no_bet,,
2026-05-18T12:15:00+00:00,KXBTC15M-26MAY180830-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-28.1623,no_bet,,
2026-05-18T12:30:00+00:00,KXBTC15M-26MAY180845-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-28.1623,no_bet,,
2026-05-18T21:15:00+00:00,KXBTC15M-26MAY181730-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-28.1623,no_bet,,
2026-05-18T21:30:00+00:00,KXBTC15M-26MAY181745-45,no,1,1,2,10.8795,14.8357,25.7153,-10.8795,+16.8633,+5.9837,-22.1786,net_win,11,yes
2026-05-18T21:45:00+00:00,KXBTC15M-26MAY181800-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-22.1786,no_bet,,
2026-05-18T22:00:00+00:00,KXBTC15M-26MAY181815-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-22.1786,no_bet,,
2026-05-18T22:15:00+00:00,KXBTC15M-26MAY181830-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-22.1786,no_bet,,
2026-05-18T22:30:00+00:00,KXBTC15M-26MAY181845-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,-22.1786,no_bet,,
