side,ticker,price,outcome,pnl,fair,won,fee,net_pnl,pred_edge
ask,KXXRPD-26JUN0622-T1.0999,0.96,1,-0.040000000000000036,0.9445999999999999,False,0.0,-0.040000000000000036,0.01540000000000008
bid,KXXRPD-26JUN0622-T1.1199,0.42,0,-0.42,0.2594,False,0.0,-0.42,-0.16059999999999997
bid,KXXRPD-26JUN0700-T1.1199,0.19,0,-0.19,0.40909999999999996,False,0.0,-0.19,0.21909999999999996
bid,KXXRPD-26JUN0701-T1.1199,0.45,1,0.55,0.4721,True,0.038500000000000006,0.5115000000000001,0.02210000000000001
ask,KXXRPD-26JUN0708-T1.1399,0.3,0,0.3,0.39,True,0.021,0.27899999999999997,-0.09000000000000002
ask,KXXRPD-26JUN0714-T1.1399,0.76,1,-0.24,0.6622,False,0.0,-0.24,0.0978
ask,KXXRPD-26JUN0716-T1.1199,0.83,1,-0.17000000000000004,0.6586,False,0.0,-0.17000000000000004,0.1714
ask,KXXRPD-26JUN0718-T1.1199,0.9,1,-0.09999999999999998,0.7506999999999999,False,0.0,-0.09999999999999998,0.1493000000000001
bid,KXXRPD-26JUN0719-T1.1599,0.15,0,-0.15,0.2777,False,0.0,-0.15,0.1277
ask,KXXRPD-26JUN0719-T1.1599,0.26,0,0.26,0.2777,True,0.0182,0.24180000000000001,-0.017699999999999994
bid,KXXRPD-26JUN0720-T1.1599,0.31,0,-0.31,0.3898,False,0.0,-0.31,0.07979999999999998
ask,KXXRPD-26JUN0720-T1.1599,0.3,0,0.3,0.32,True,0.021,0.27899999999999997,-0.020000000000000018
